,IPC,AC,ALFAA,ALPEKA,ALSEA,AMXL,ASURB,BIMBOA,BOLSAA,CEMEXCPO,ELEKTRA,GAPB,GCARSOA1,GENTERA,GFINBURO,GFNORTEO,GMEXICOB,GRUMAB,IENOVA,KIMBERA,KOFUBL,LALAB,OMAB,ORBIA,PINFRA,TLEVISACPO,VOLARA,WALMEX
2019-11-22,43521.859375,103.26799799999999,15.176287,19.896826,53.240002000000004,15.054882000000001,337.950012,33.561756,40.194107,6.964775,1365.6245119999999,199.399994,66.556602,18.610001,24.209999,107.16999799999999,50.401627000000005,198.595978,81.32,37.247162,112.16999799999999,17.189363,132.490005,42.571407,189.639999,43.150002,20.889999,54.50103000000001
2019-11-25,43535.109375,103.658058,15.575663,20.823883,53.279999,15.084498000000002,340.859985,33.680035,41.612495,7.083156,1362.893921,203.559998,66.19899000000001,18.74,24.120001000000002,106.709999,50.470131,196.838516,81.769997,37.208462,113.050003,17.708176,130.83999599999999,41.848595,189.58999599999999,43.43,21.129998999999998,54.7299
2019-11-26,42852.359375,102.604904,15.076443,20.514864000000003,52.0,14.887057,334.829987,32.950649,40.82663,7.112750999999999,1381.200195,200.220001,64.45063,18.93,23.299999,101.910004,50.979042,192.99156200000002,80.18,36.94725,112.66999799999999,18.109522,132.690002,42.228237,188.240005,42.220001,20.709999,53.406429
2019-11-27,43036.160156,102.390366,15.635569,20.544769,53.450001,14.867313000000001,340.040009,32.881653,40.539120000000004,7.240997999999999,1378.569336,200.529999,65.086395,18.940001000000002,23.4,103.41999799999999,50.548428,194.27063,80.309998,37.160090999999994,112.879997,18.608757,132.33999599999999,42.091953000000004,186.96000700000002,42.849998,20.809998999999998,53.983585
2019-11-28,43100.121094,101.97105400000001,15.655538,21.192713,53.139998999999996,14.867313000000001,339.100006,33.098499,40.280357,7.221267999999999,1372.470581,201.070007,65.324814,18.629998999999998,23.24,103.730003,50.72459,194.163223,80.82,36.956924,112.07,18.775171,131.399994,42.072487,186.91000400000001,43.07,20.809998999999998,54.023388
2019-11-29,42820.179688,100.937401,15.336037,21.272459,52.98,14.808081,333.670013,33.315342,40.759544,7.053561,1363.083252,198.78999299999998,64.92746,18.690001000000002,23.209999,102.940002,49.990584999999996,192.347153,80.190002,36.231331,112.150002,18.86327,129.860001,41.546822,186.940002,42.549999,20.73,54.212456
2019-12-02,42544.140625,100.41082,15.515757,20.863756,53.669998,14.541534,326.790009,33.364624,40.280357,6.974639999999999,1376.7855220000001,195.429993,65.682434,18.52,23.15,100.349998,51.096481,193.29423500000001,80.589996,37.150417,112.290001,18.58918,128.029999,40.826469,185.639999,41.889998999999996,20.059998999999998,53.923878
2019-12-03,42294.519531,99.689217,15.765367000000001,20.435118,52.98,14.383582,331.52999900000003,33.236492,40.721214,6.797067999999999,1387.697632,194.78999299999998,67.09303299999999,19.02,23.440001000000002,100.550003,49.696979999999996,190.355347,80.529999,37.920055,111.459999,18.334667,128.720001,39.85302,183.610001,41.400002,20.1,54.08309200000001
2019-12-04,42191.921875,99.73796800000001,15.385959,20.704264000000002,53.169998,14.423070000000001,327.790009,33.236492,40.558289,6.747742,1389.84021,195.149994,66.685738,18.959999,23.32,101.099998,48.47364,188.27563500000002,80.32,37.861416,111.309998,18.03121,128.679993,39.707005,183.490005,41.599998,20.09,53.635303
2019-12-05,42216.03125,99.357658,15.156317999999999,21.013281,52.779999,14.511919,325.27999900000003,32.802799,40.242027,6.856258,1377.194092,192.800003,66.447334,18.83,22.76,101.07,49.559967,182.866486,81.58000200000001,37.822323,110.900002,17.923532,128.66000400000001,39.843284999999995,184.199997,40.77,19.91,53.585547999999996
